10;pubg.jpg;"PUBG: BATTLEGROUNDS";Экшен;"Играйте В PUBG: BATTLEGROUNDS бесплатно. Высаживайтесь в стратегически важных местах, добывайте оружие и припасы и постарайтесь выжить и остаться последней командой на одном из многочисленных полей боя.";0
656b8b960af10;dota.jpg;"Dota 3";Стратегия;"Ежедневно миллионы игроков по всему миру сражаются от лица одного из более сотни героев Dota 2, и даже после тысячи часов в ней есть чему научиться. Благодаря регулярным обновлениям игра живёт своей жизнью: геймплей, возможности и герои постоянно преображ";0
656b8b960b32d;bald_gate.jpg;"Baldur`s Gate 3";Приключение;"Соберите отряд и вернитесь в Забытые Королевства. Вас ждет история о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти.";1999
656b8b960b710;stray.jpg;Stray;Приключение;"Потерявшемуся, одинокому, оторванному от семьи бродячему коту предстоит разгадать древнюю тайну, вырваться из давно заброшенного кибергорода и найти дорогу домой.";697
656b8b960bcf8;backrooms.jpg;"Escape the Backrooms";Приключение;"Escape the Backrooms это кооперативная игра в жанре хоррор для 1-4 игроков. Пройдите через жуткие подсобные помещения, избегая сущностей и других опасностей, чтобы попытаться спастись.";207
656b8b960c6e1;beamng.jpg;BeamNG.drive;Симулятор;"Основанный на физике мягких объектов автомобильный симулятор, способный практически на всё.";465
656b8b960cba2;farm_sim.jpg;"Farming Simulator 22";Симулятор;"Создайте свою ферму и начинайте растить! Собирайте урожай, ухаживайте за животными, распределяйте продукцию и проходите сезонные испытания.";1359
656b8b960cf4e;stardew.jpg;"Stardew Valley";Симулятор;"Вам досталась старая дедушкина ферма в долине Стардью. С горстью монет в кармане и старыми инструментами в руках вы начинаете новую жизнь. Сможете ли вы превратить пустырь в цветущий сад?";299
656b8b960d3c1;moonstone.jpg;"Moonstone Island";Симулятор;"Moonstone Island – это более 100 островов для исследования в открытом мире. Заводите друзей, варите зелья, приручайте духов (Spirits) и испытайте свои силы в карточных сражениях, чтобы стать настоящим мастером алхимии!";639
656b8b960d794;fishing.jpg;"Russian Fishing 4";Спорт;"Russian Fishing 4 - это рыболовный симулятор с элементами RPG, игровой процесс которого основан на концепции открытого мира и полной свободе действий игрока.";0
656b8b960dc68;f1.jpg;"F1® 23";Спорт;"Тормозите позже всех в EA SPORTS™ F1® 23, официальной видеоигре чемпионата FIA Formula One World Championship™ 2023.";1359
656b8b960e1c7;ass_corsa.jpg;"Assetto Corsa";Спорт;"Assetto Corsa v1.16 introduces the new ""Laguna Seca"" laser-scanned track, 7 new cars among which the eagerly awaited Alfa Romeo Giulia Quadrifoglio! Check the changelog for further info!";435
656b8b960e678;cities_skylines.jpg;"Cities: Skylines";Стратегия;"Cities: Skylines предлагает по-новому взглянуть на классический жанр градостроительного симулятора. Эта игра как нельзя лучше передает возникающие перед градоначальником трудности и позволяет создать настоящий мегаполис, одновременно привнося в игру прият";220
656b8b960eb15;golf.jpg;"Golf It!";Спорт;"Embark on an exciting journey with Golf It! Seize your putter, rally your friends, and immerse yourself in an epic minigolf adventure. Conquer countless courses, create lasting memories, and refine your skills to emerge as the ultimate minigolf champion. ";400
656b8b960ee87;eu4.jpg;"Europa Universalis IV";Стратегия;"В Europa Universalis IV вы сможете провести страну сквозь четыре насыщенных столетия. Правьте землями и добивайтесь мирового господства, наслаждаясь свободой действий, проработанным игровым процессом и исторической точностью.";1300
656b8b960f1b3;crus_kings.jpg;"Crusader Kings III";Стратегия;"Любовь, война, интриги и величие. Определите наследие своего знатного рода в безграничной глобальной стратегии Crusader Kings III.";1600
656b8b960f540;csgo.jpg;"Counter-Strike: Global Offensive";Экшен;"Counter-Strike: Global Offensive (CS:GO) расширяет границы ураганной командной игры, представленной ещё 19 лет назад.

CS:GO включает в себя новые карты, персонажей, оружие и режимы игры, а также улучшает классическую составляющую CS (de_dust2 и т. п.).";0
656b8b960fac6;party_animals.jpg;"Party Animals";Экшен;"Сражайтесь с друзьями в роли щенков, котят и других пушистых существ в PARTY ANIMALS! Разберитесь с друзьями в сети и офлайн. Взаимодействуйте с миром при помощи нашего реалистичного движка. Я уже упоминал ЩЕНКОВ?";1238
656b8b960ff34;apex.jpg;"Apex Legends";Экшен;"Побеждайте с характером в Apex Legends™ — бесплатном героическом шутере*, где легендарные персонажи с мощными способностями сражаются за славу и богатства на дальних рубежах Фронтира.";0
656b8b9610307;pubg.jpg;"PUBG: BATTLEGROUNDS";Экшен;"Играйте В PUBG: BATTLEGROUNDS бесплатно. Высаживайтесь в стратегически важных местах, добывайте оружие и припасы и постарайтесь выжить и остаться последней командой на одном из многочисленных полей боя.";0
656b8b9610738;terraria.jpg;Terraria;Приключение;"Копайте, сражайтесь, исследуйте, стройте! Нет ничего невозможного в этой насыщенной событиями приключенческой игре. Весь мир — ваше полотно, а вся земля — ваши краски!
Хватайте инструменты и вперед! Создавайте оружие, чтобы сражаться с различными врагами";300
656b937e718b6;terraria.jpg;Terraria;Приключение;"Копайте, сражайтесь, исследуйте, стройте! Нет ничего невозможного в этой насыщенной событиями приключенческой игре. Весь мир — ваше полотно, а вся земля — ваши краски!
Хватайте инструменты и вперед! Создавайте оружие, чтобы сражаться с различными врагами";300
656b938e9c895;terraria.jpg;Terraria;Приключение;"Копайте, сражайтесь, исследуйте, стройте! Нет ничего невозможного в этой насыщенной событиями приключенческой игре. Весь мир — ваше полотно, а вся земля — ваши краски!
Хватайте инструменты и вперед! Создавайте оружие, чтобы сражаться с различными врагами";300
656b93ce556ee;terraria.jpg;Terraria;Приключение;"Копайте, сражайтесь, исследуйте, стройте! Нет ничего невозможного в этой насыщенной событиями приключенческой игре. Весь мир — ваше полотно, а вся земля — ваши краски!
Хватайте инструменты и вперед! Создавайте оружие, чтобы сражаться с различными врагами";300
656b987848944;terraria.jpg;Terraria;Приключение;"Копайте, сражайтесь, исследуйте, стройте! Нет ничего невозможного в этой насыщенной событиями приключенческой игре. Весь мир — ваше полотно, а вся земля — ваши краски!
Хватайте инструменты и вперед! Создавайте оружие, чтобы сражаться с различными врагами";300
